,购买金额,累计购买金额
1217,33.94,552.05
1218,77.98,1157.299
1219,64.99,1418.9
1220,513.98,1319.577
1221,115.99,2940.577
1222,372.96,1010.93
1223,87.26,2880.82
1224,179.99,2342.915
1225,202.92,5768.912
1226,63.63,94.89
1227,675.18,8726.331
1228,239.0,1151.52
1229,92.95,2791.66
1230,839.98,792.587
1231,599.97,1436.536
1232,129.95,3711.342
1233,203.98,1904.722
1234,529.18,1674.4
1235,19.99,3668.567
1236,39.95,3755.039
1237,34.99,0.0
1238,239.0,2027.38
1239,239.0,2221.54
1240,418.99,5190.954
1241,110.0,1600.872
1242,484.96,3069.26
1243,78.98,762.9
1244,429.99,4308.3
1245,225.98,1007.895
1246,36.98,1404.949
1247,31.99,0.0
1248,86.99,644.99
1249,1230.33,5368.514
1250,249.95,3132.94
1251,161.23,2245.567
1252,104.99,1922.08
1253,604.41,4017.807
1254,74.99,2996.08
1255,107.98,8606.009
1256,194.99,2710.91
1257,54.09,630.99
1258,289.89,802.45
1259,239.0,1169.971
1260,596.89,2028.676
1261,36.98,2350.164
1262,172.98,481.99
